genus,count
Russula,1382
Amanita,720
Cortinarius,430
Lactarius,363
Tricholoma,293
Psilocybe,276
Boletus,273
Inocybe,266
Mycena,248
Entoloma,238
Suillus,210
Ganoderma,179
Hypomyces,161
Lycoperdon,147
Lactifluus,142
Psathyrella,142
Pluteus,142
Caloplaca,140
Agaricus,131
Hygrocybe,130
Cantharellus,125
Trametes,123
Tylopilus,122
Hydnellum,120
Gymnopus,113
Stereum,101
Hypholoma,95
Pleurotus,95
Hygrophorus,86
Panaeolus,85
Morchella,85
Leucoagaricus,83
Marasmius,80
Fomitopsis,79
Laccaria,78
Marasmiellus,76
Aureoboletus,73
Melanoleuca,72
Clitocybe,70
Retiboletus,70
Cerioporus,67
Agrocybe,67
Lepiota,64
Pholiota,62
Gyromitra,62
Megacollybia,61
Leccinum,60
Gliophorus,59
Craterellus,58
Phaeolus,57
Armillaria,56
Buellia,55
Simocybe,54
Laetiporus,53
Scleroderma,53
Sarcodon,52
Coltricia,51
Tremella,50
Sarcoscypha,50
Tapinella,49
Xylaria,48
Scutellinia,47
Galerina,47
Lanmaoa,47
Xanthoconium,46
Postia,45
Tricholomopsis,45
Peziza,44
Hydnum,44
Trichaptum,44
Gymnopilus,43
Clavulinopsis,43
Neofavolus,42
Bolbitius,42
Oudemansiella,42
Crepidotus,40
Deconica,39
Hebeloma,38
Kuehneromyces,37
Puccinia,37
Chlorophyllum,37
Caloboletus,36
Lacrymaria,36
Phellinus,36
Ramaria,35
Coprinellus,35
Artomyces,35
Inonotus,35
Chlorencoelia,34
Rhodocollybia,34
Coprinus,34
Clitopilus,34
Helvella,34
Lepista,33
Cephalanthera,33
Pseudoboletus,33
Calvatia,33
Panellus,33
Rhizomarasmius,33
Conocybe,32
Omphalotus,32
Cantharellula,32
Coprinopsis,32
Leptonia,31
Butyriboletus,31
Ampulloclitocybe,31
Nolanea,31
Clavaria,31
Lecanora,31
Xeromphalina,31
Catillaria,30
Asterophora,30
Neoboletus,30
Galiella,29
Hemileccinum,29
Cyclocybe,29
Porodaedalea,29
Panus,28
Gomphidius,28
Chalciporus,28
Ionomidotis,28
Lasiosphaeria,28
Dacryopinax,27
Leucocoprinus,27
Pycnoporellus,27
Gyroporus,27
Sclerotinia,27
Schizophyllum,27
Clavulina,27
Polyporus,26
Patellaria,26
Bovista,26
Stropharia,26
Lyophyllum,26
Chroogomphus,26
Crinipellis,25
Strobilurus,25
Leucopaxillus,25
Trichoderma,24
Heterobasidion,24
Sarcosphaera,24
Physcia,24
Hysterographium,23
Daedaleopsis,23
Pseudoinonotus,23
Candolleomyces,23
Suillellus,23
Humidicutis,23
Geastrum,23
Hypotrachyna,23
Lasiosphaeris,22
Orbilia,22
Leotia,22
Peltigera,22
Bjerkandera,22
Fuscoporia,22
Camarops,22
Hygrophoropsis,21
Gerronema,21
Phlebia,21
Hemimycena,21
Leptogium,21
Phaeophyscia,21
Schizopora,20
Lentinus,20
Mycetinis,20
Icmadophila,20
Cudoniella,20
Thelephora,20
Parasola,19
Thuemenella,19
Cuphophyllus,19
Brunnipila,19
Cyathus,19
Pannaria,18
Samsoniella,18
Macrolepiota,18
Aleurodiscus,18
Pseudohydnum,18
Cyathicula,18
Gastroboletus,17
Lentinellus,17
Neolentinus,17
Teloschistes,17
Fistulina,17
Cantharocybe,17
Mycorrhaphium,17
Pulveroboletus,16
Rigidoporus,16
Turbinellus,16
Infundibulicybe,16
Fulvifomes,16
Hymenoscyphus,16
Tyromyces,16
Beauveria,16
Coccomyces,16
Coleosporium,16
Ombrophila,16
Pseudomerulius,16
Echinoderma,16
Picipes,16
Cytidia,15
Sebacina,15
Lentinula,15
Rhizina,15
Cordyceps,15
Callistosporium,15
Alnicola,14
Chromosera,14
Cotylidia,14
Imleria,14
Parmotrema,14
Sutorius,14
Cryptoporus,14
Rubroboletus,14
Vascellum,14
Mitrula,14
Galeropsis,14
Arthrophaga,14
Entomophthora,13
Kretzschmaria,13
Fuligo,13
Bondarzewia,13
Nigroporus,13
Meripilus,13
Paxillus,13
Niveoporofomes,13
Hapalopilus,13
Pseudotricholoma,13
Tubifera,13
Baeospora,13
Rhodofomes,13
Urnula,13
Aleuria,13
Myxarium,13
Tolypocladium,13
Bacidia,12
Hemipholiota,12
Ophiocordyceps,12
Umbilicaria,12
Erysiphe,12
Baorangia,12
Chrysomphalina,11
Punctelia,11
Ascocoryne,11
Crocicreas,11
Tephromela,11
Hericium,11
Daldinia,11
Leucopholiota,11
Buelliella,11
Calyptella,11
Strobilomyces,11
Ceratiomyxa,11
Xanthoparmelia,11
Microstoma,11
Creosphaeria,11
Caloscypha,11
Fomitiporia,11
Phallus,11
Cladonia,11
Rhabdocline,11
Cerrena,11
Arrhenia,11
Leratiomyces,11
Mucronella,11
Dacrymyces,10
Clitocybula,10
Sarcogyne,10
Flavoparmelia,10
Atractosporocybe,10
Phellodon,10
Macrocybe,10
Coniophora,10
Boletinellus,10
Peniophora,10
Pertusaria,10
Phylloporus,10
Rinodina,10
Disciseda,10
Lachnellula,10
Flammulaster,10
Auricularia,10
Exidia,10
Pappia,10
Disciotis,10
Arthonia,9
Limacella,9
Microglossum,9
Uromyces,9
Calostoma,9
Cystoderma,9
Lecidella,9
Diploschistes,9
Tarzetta,9
Boletopsis,9
Purpureocillium,9
Acarospora,9
Xerocomellus,9
Calocera,9
Allodus,9
Chlorociboria,8
Stereopsis,8
Colletotrichum,8
Ramariopsis,8
Chrysomyxa,8
Cudonia,8
Jackrogersella,8
Lophodermium,8
Septoria,8
Cookeina,8
Neohygrocybe,8
Collybia,8
Collema,8
Sphaerosporium,8
Pisolithus,8
Heliomyces,8
Climacodon,8
Humaria,8
Meloderma,8
Microsphaera,8
Clonostachys,8
Xanthoporia,7
Pyrrhospora,7
Clauzadea,7
Jahnoporus,7
Tectella,7
Degelia,7
Hohenbuehelia,7
Hypocrea,7
Stemonitis,7
Bothia,7
Tetrapyrgos,7
Gloeophyllum,7
Laeticutis,7
Xylodon,7
Fibroporia,7
Nothophaeocryptopus,7
Hypsizygus,7
Plasmopara,7
Austroboletus,7
Athelia,7
Grifola,7
Xylobolus,7
Wolfina,7
Lycogala,7
Helminthosphaeria,6
Tubaria,6
Fomes,6
Albugo,6
Punctularia,6
Sarcomyxa,6
Atheniella,6
Flammulina,6
Stemphylium,6
Climacocystis,6
Hemistropharia,6
Corticium,6
Heterodermia,6
Verpa,6
Vararia,6
Discosia,6
Plicaturopsis,6
Poronia,6
Parmelia,6
Rimbachia,6
Sarcoporia,6
Calocybe,6
Wrightoporia,6
Graminopassalora,6
Mallocybe,6
Ceriporia,6
Laricifomes,6
Dothistroma,6
Phaeohelotium,6
Sparassis,6
Henningsomyces,6
Rhopalogaster,5
Ischnoderma,5
Calogaya,5
Ochrolechia,5
Osteina,5
Dirina,5
Daedalea,5
Asterostroma,5
Aspicilia,5
Macrocystidia,5
Pleurocybella,5
Metarhizium,5
Leptoporus,5
Phialocephala,5
Apiosporina,5
Hypogymnia,5
Campanophyllum,5
Sowerbyella,5
Xerocomus,5
Boletellus,5
Sarcodontia,5
Ascopolyporus,5
Bulgariella,5
Gymnosporangium,5
Pucciniastrum,5
Skyttea,5
Rhodotus,5
Ripartitella,4
Parmelina,4
Pleuroflammula,4
Tuber,4
Ophiodothella,4
Cytospora,4
Lichina,4
Arachnopeziza,4
Desarmillaria,4
Irpex,4
Gloioxanthomyces,4
Volvariella,4
Calbovista,4
Taphrina,4
Moneses,4
Myrothecium,4
Pseudoarmillariella,4
Hydropunctaria,4
Geopyxis,4
Phylloporia,4
Willkommlangea,4
Donkia,4
Phomopsis,4
Kabatina,4
Hydnophlebia,4
Clathrus,4
Ophiostoma,4
Phyllotopsis,4
Sphinctrina,4
Connopus,4
Lachnum,4
Cheilymenia,4
Phaeotremella,4
Rutstroemia,4
Syzygospora,3
Veluticeps,3
Crassisporium,3
Aseroe,3
Rickenella,3
Sarcodes,3
Otidea,3
Lichenomphalia,3
Osmoporus,3
Rosellinia,3
Pseudobaeospora,3
Pyrenula,3
Pestalotia,3
Vibrissea,3
Loreleia,3
Pezicula,3
Jafnea,3
Phragmidium,3
Mollisia,3
Singerocybe,3
Anisomeridium,3
Sarea,3
Toninia,3
Pterospora,3
Pholiotina,3
Myxomphalia,3
Cercospora,3
Echinodontium,3
Bisporella,3
Spongipellis,3
Coltriciella,3
Spinellus,3
Lasallia,3
Leprocaulon,3
Xanthomendoza,3
Moelleriella,3
Mutinus,3
Psora,3
Ustilago,3
Diplotomma,3
Porodisculus,3
Hymenochaetopsis,3
Sporophagomyces,2
Holwaya,2
Cyptotrama,2
Spathularia,2
Imperator,2
Mycenastrum,2
Leucocybe,2
Multiclavula,2
Crucibulum,2
Cystolepiota,2
Lepraria,2
Phlebiopsis,2
Erythrophylloporus,2
Cymatoderma,2
Floccularia,2
Eryniopsis,2
Pulchroboletus,2
Perenniporia,2
Mucilago,2
Metuloidea,2
Cetrelia,2
Micropsalliota,2
