,kingdom,phylum,class,order,family,genus,label
0,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Hypoxylon,Unknown
1,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Daldinia,Non-edible
2,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Kretzschmaria,Non-edible
3,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Poronia,Unknown
4,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Non-edible
5,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Favolaschia,Unknown
6,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Panellus,Unknown
7,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,Non-edible
8,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imleria,Unknown
9,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Strobilomyces,Unknown
10,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Cyanoboletus,Unknown
11,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Neoboletus,Unknown
12,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hortiboletus,Unknown
13,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Rubroboletus,Unknown
14,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Suillellus,Unknown
15,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,Edible
16,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Hemileccinum,Unknown
17,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,Unknown
18,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Caloboletus,Unknown
19,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Buchwaldoboletus,Unknown
20,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Tylopilus,Unknown
21,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Butyriboletus,Unknown
22,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Chalciporus,Unknown
23,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Edible
24,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Rubinoboletus,Unknown
25,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Pseudoboletus,Unknown
26,Fungi,Ascomycota,Ascomycetes,Pezizales,Morchellaceae,Gyromitra,Non-edible
27,Fungi,Ascomycota,Ascomycetes,Pezizales,Morchellaceae,Disciotis,Unknown
28,Fungi,Ascomycota,Ascomycetes,Pezizales,Morchellaceae,Morchella,Edible
29,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Tremella,Edible
31,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Ciboria,Unknown
34,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Non-edible
