family,Scientific Name
Meruliaceae,Abortiporus
Agaricaceae,Agaricus
Strophariaceae,Agrocybe
Albatrellaceae,Albatrellus
Pyronemataceae,Aleuria
Amanitaceae,Amanita
Hygrophoraceae,Ampulloclitocybe
Physalacriaceae,Armillaria
Tricholomataceae,Arrhenia
Gelatinodiscaceae,Ascocoryne
Phallaceae,Aseroe
Lyophyllaceae,Asterophora
Diplocystidiaceae,Astraeus
Porotheleaceae,Atheniella
Auriculariaceae,Auricularia
Auriscalpiaceae,Auriscalpium
Marasmiaceae,Baeospora
Schizoporaceae,Basidioradulum
Agaricaceae,Battarrea
Helotiaceae,Bisporella
Meruliaceae,Bjerkandera
Bolbitiaceae,Bolbitius
Bankeraceae,Boletopsis
Boletaceae,Boletus
Agaricaceae,Bovista
Boletaceae,Buchwaldoboletus
Bulgariaceae,Bulgaria
Boletaceae,Butyriboletus
Phanerochaetaceae,Byssomerulius
Pyronemataceae(Asc),Byssonectria
Boletaceae,Caloboletus
Dacrymycetaceae,Calocera
Tricholomataceae,Calocybe
Agaricaceae,Calvatia
Cantharellaceae,Cantharellus
Boletaceae,Chalciporus
Pyrenomataceae,Cheilymenia
Helotiaceae,Chlorociboria
Agaricaceae,Chlorophyllum
Gomphidiaceae,Chroogomphus
Sclerotiniaceae,Ciboria
Phallaceae,Clathrus
Clavariaceae,Clavaria
Gomphaceae,Clavariadelphus
Clavicipitaceae,Claviceps
Clavulinaceae,Clavulina
Clavariaceae,Clavulinopsis
Entolomataceae,Clitocella
Tricholomataceae,Clitocybe
Entolomataceae,Clitopilus
Tricholomataceae,Collybia
Hymenochaetaceae,Coltricia
Phallaceae,Colus
Bolbitiaceae,Conocybe
Psathyrellaceae,Coprinellus
Psathyrellaceae,Coprinopsis
Agaricaceae,Coprinus
Cordycipitaceae,Cordyceps
Cortinariaceae,Cortinarius
Cantharellaceae,Craterellus
Inocybaceae,Crepidotus
Agaricaceae,Crucibulum
Hygrophoraceae,Cuphophyllus
Boletaceae,Cyanoboletus
Fomitopsidaceae,Cyanosporus
Agaricaceae,Cyathus
Strophariaceae,Cyclocybe
Agaricaceae,Cystoderma
Agaricaceae,Cystolepiota
Dacrymycetaceae,Dacrymyces
Fomitopsidaceae,Daedalea
Fomitopsidaceae,Daedaleopsis
Xylariaceae,Daldinia
Tricholomataceae,Delicatula
Tricholomataceae,Dermoloma
Physalacriaceae,Desarmillaria
Polyporaceae,Dichomitus
Morchellaceae,Disciotis
Agaricaceae,Echinoderma
Elaphomycetaceae,Elaphomyces
Entolomataceae,Entoloma
Auriculariaceae,Exidia
Mycenaceae,Favolaschia
Fistulinaceae,Fistulina
Inocybaceae,Flammulaster
Physalacriaceae,Flammulina
Polyporaceae,Fomes
Fomitopsidaceae,Fomitopsis
Hymenochaetaceae,Fuscoporia
Strophariaceae,Galerina
Ganodermataceae,Ganoderma
Geastraceae,Geastrum
Geoglossaceae,Geoglossum
Pyrenomataceae,Geopora
Hygrophoraceae,Gliophorus
Gomphidiaceae,Gomphidius
Meripilaceae,Grifola
Insertae,Guepinia
Strophariaceae,Gymnopilus
Marasmiaceae,Gymnopus
Pucciniaceae,Gymnosporangium
Morchellaceae,Gyromitra
Gyroporaceae,Gyroporus
Strophariaceae,Hebeloma
Helvellaceae,Helvella
Boletaceae,Hemileccinum
Hericiaceae,Hericium
Bondarzewiaceae,Heterobasidion
Boletaceae,Hortiboletus
Bankeraceae,Hydnellum
Hydnaceae,Hydnum
Hygrophoraceae,Hygrocybe
Hygrophoropsidaceae,Hygrophoropsis
Hygrophoraceae,Hygrophorus
Hymenochaetaceae,Hymenochaete
Physalacriaceae,Hymenopellis
Strophariaceae,Hypholoma
Hypocreaceae,Hypocreopsis
Xylariaceae,Hypoxylon
Lyophyllaceae,Hypsizygus
Boletaceae,Imleria
Inocybaceae,Inocybe
Hymenochaetaceae,Inonotus
Xylariaceae,Kretzschmaria
Strophariaceae,Kuehneromyces
Hydnangiaceae,Laccaria
Psathyrellaceae,Lacrymaria
Russulaceae,Lactarius
Polyporaceae,Laetiporus
Rutstroemiaceae,Lanzia
Boletaceae,Leccinum
Auriscalpiaceae,Lentinellus
Polyporaceae,Lentinus
Polyporaceae,Lenzites
Leotiaceae,Leotia
Agaricaceae,Lepiota
Tricholomataceae,Lepista
Strophariaceae,Leratiomyces
Agaricaceae,Leucoagaricus
Agaricaceae,Leucocoprinus
Tricholomataceae,Leucocortinarius
Tricholomataceae,Leucopaxillus
Insertae,Loreleia
Agaricaceae,Lycoperdon
Lyophyllaceae,Lyophyllum
Marasmiaceae,Macrocystidia
Agaricaceae,Macrolepiota
Marasmiaceae,Marasmiellus
Marasmiaceae,Marasmius
Tricholomataceae,Megacollybia
Tricholomataceae,Melanoleuca
Strophariaceae,Meottomyces
Meripilaceae,Meripilus
Leotiaceae,Microglossum
Helotiaceae,Mitrula
Dermateaceae,Mollisia
Morchellaceae,Morchella
Phallaceae,Mutinus
Mycenaceae,Mycena
Geastraceae,Myriostoma
Strophariaceae,Naucoria
Nectriaceae,Nectria
Boletaceae,Neoboletus
Helotiaceae,Neobulgaria
Polyporaceae,Neolentinus
Agaricaceae,Nidularia
Marasmiaceae,Omphalotus
Pyronemataceae,Otidea
Marasmiaceae,Oudemansiella
Bolbitiaceae,Panaeolina
Bolbitiaceae,Panaeolus
Mycenaceae,Panellus
Polyporaceae,Panus
Psathyrellaceae,Parasola
Paxillaceae,Paxillus
Peniophoraceae,Peniophora
Pezizaceae,Peziza
Agaricaceae,Phaeolepiota
Fomitopsidaceae,Phaeolus
Phallaceae,Phallus
Hymenochaetaceae,Phellinus
Bankeraceae,Phellodon
Meruliaceae,Phlebia
Strophariaceae,Pholiota
Fomitopsidaceae,Piptoporus
Sclerodermataceae,Pisolithus
